sourceCRS         ,sourceVRS  ,targetCRS          ,sourceOrigin,dxRoundTrip,dyRoundTrip,dzRoundTrip,dxOriginal ,dyOriginal ,dzOriginal ,dxProj,dyProj,dzProj,stepsForward                                                                                                                                                                                                                                                                                                                                                               ,stepsReverse                                                                                                                                                                                                                                                                                         
DB_Ref_GK5        ,Normal     ,DB_Ref_Geod        ,original    ,0.000E+000 ,2.794E-009 ,0.000E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.                                                                                                                                                                                                                                                                                                                                 ,Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                                                                           
DB_Ref_GK5        ,Normal     ,DB_Ref_Geod        ,original    ,0.000E+000 ,-9.313E-010,0.000E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.                                                                                                                                                                                                                                                                                                                                 ,Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                                                                           
DB_Ref_GK5        ,Normal     ,DB_Ref_Geod        ,original    ,0.000E+000 ,-1.863E-009,0.000E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.                                                                                                                                                                                                                                                                                                                                 ,Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                                                                           
DB_Ref_GK5        ,Normal     ,DB_Ref_Geoc        ,original    ,0.000E+000 ,0.000E+000 ,2.877E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.                                                                                                                                                                                                              ,Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                              
DB_Ref_GK5        ,Normal     ,DB_Ref_Geoc        ,original    ,0.000E+000 ,2.794E-009 ,2.875E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.                                                                                                                                                                                                              ,Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                              
DB_Ref_GK5        ,Normal     ,DB_Ref_Geoc        ,original    ,0.000E+000 ,-9.313E-010,2.802E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.                                                                                                                                                                                                              ,Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                              
DB_Ref_GK5        ,Normal     ,DB_Ref_Geoc        ,original    ,0.000E+000 ,-1.863E-009,2.931E+000 ,           ,           ,           ,      ,      ,      ,Conversion from DB_Ref_GK5 to DB_Ref_Geod.|>Iterative transformation from Normal heights to Ellipsoidal heights.|>Conversion from DB_Ref_Geod to DB_Ref_Geoc.                                                                                                                                                                                                              ,Conversion from DB_Ref_Geoc to DB_Ref_Geod.|>Conversion from DB_Ref_Geod to DB_Ref_GK5.                                                                                                                                                                                                              
ETRS89_DREF91_Geoc,None       ,EGBT22_EGBT_LDP    ,original    ,-4.657E-010,-1.164E-010,9.313E-010 ,           ,           ,           ,      ,      ,      ,Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.                                                                                                                                                                                                                       ,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.                                                                                                                                                 
ETRS89_DREF91_Geoc,None       ,EGBT22_EGBT_LDP    ,original    ,-1.397E-009,-2.328E-010,1.863E-009 ,           ,           ,           ,      ,      ,      ,Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.                                                                                                                                                                                                                       ,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.                                                                                                                                                 
ETRS89_DREF91_Geoc,None       ,EGBT22_EGBT_LDP    ,original    ,0.000E+000 ,0.000E+000 ,1.863E-009 ,           ,           ,           ,      ,      ,      ,Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.                                                                                                                                                                                                                       ,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.                                                                                                                                                 
ETRS89_DREF91_Geoc,None       ,EGBT22_EGBT_LDP    ,original    ,-4.657E-010,-1.164E-010,9.313E-010 ,           ,           ,           ,      ,      ,      ,Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.                                                                                                                                                                                                                       ,Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.                                                                                                                                                 
ETRS89_DREF91_Geoc,None       ,EGBT22_Geod        ,original    ,-4.657E-010,-1.164E-010,9.313E-010 ,           ,           ,           ,      ,      ,      ,Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.                                                                                                                                                                                                                                                                        ,Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.                                                                                                                                                                                                  
